Lenovo ThinkPad T440s 20ARS08E00 Intel i5-4300U 1.90GHz 8GB 320GB NO OS,$154.50,Refurbished
"Lenovo Thinkpad T440P i7-4600M 16GB 500GB SSD 14"" NVIDIA backlit Windows 10 pro",$349.99,Refurbished
Lenovo Thinkpad T440 intel i7-4600U 8gb 256GB SSD Backlit Windows 10 Pro Laptop,$250.00,Pre-Owned
"Lenovo ThinkPad T450 i5-5300U 14"" 8GB RAM 256GB SSD Win10 Pro with Warranty",$299.95,Refurbished
Lenovo ThinkPad T440s #3 /Win 7 Pro / FHD1920x1080 / i5-4200U / 8GB /500GB+16GB,$999.00,Refurbished
"Lenovo ThinkPad 14.1"" T440 Core i5 Laptop Win 10 Pro 8GB RAM 320GB New BATTERY",$199.99,Refurbished
Lenovo ThinkPad T530 Core i7-3520M 8GB RAM 120SSD NVidia NVS 5400M Windows 7,$329.95,Pre-Owned
"Lenovo ThinkPad T440 14"" Laptop PC i5-4300U 500GB HDD 4GB RAM Win 10 - Warranty",$279.99,Refurbished
Lenovo Thinkpad T440 Core i5-4300U 2.5GHz HD 4GB 500GB SSHD BT FPR Win10,$163.00,Refurbished
Lenovo Thinkpad T440 Core i7-4600U 2.7G HD+ 8GB 500GB BT FPR Win10Pro,$205.00,Refurbished
"Lenovo ThinkPad T440 i5 4300U, 8GB RAM, 500GB, Windows 10, 1 Year Warranty",$294.99,Refurbished
Lenovo Thinkpad T440 Intel Core i7-4600U 2.7G HD+ 4GB 256GB SSD BT FPR Win10 Pro,$209.00,Refurbished
Lenovo Thinkpad T440 Core i7-4600U 2.7G HD+ 1600*900 8GB 500GB BT FPR Win10Pro,$209.00,Refurbished
Lenovo Thinkpad T440P Core i5-4300M 2.5GHz HD 4GB 160GB HDD BT DVDRAM Win10 Pro,$129.00,Refurbished
42W2014 GENUINE LENOVO BASE COVER THINKPAD T61 6468-CT0 (GRADE B) (FF42),$34.76,Pre-Owned
Lenovo Thinkpad T440 Core i5-4300U 2.5GHz HD+ 4GB 500GB BT FPR Win10Pro,$155.00,Refurbished
Lenovo Thinkpad T440 Core i5-4300U 2.5GHz HD 4GB 120GB SSD BT Backlit Win10Pro,$165.00,Refurbished
Lenovo Thinkpad T440P w/Dock i7-4600M 2.9G GT-730M HD+ 8GB 256GB SSD FPR Win10,$289.00,Refurbished
Lenovo Thinkpad T440 intel Core i5 1.90GHZ 4GB 128GB SSD Windows 10 Home camera,$127.02,Pre-Owned
Lenovo Thinkpad T440 Core i7-4600U 2.7G HD+ MultiTouch 8GB 500GB BT Win10 Pro,$215.00,Refurbished
"Lenovo ThinkPad T440 Win 8 Pro/14.0"" 1366 X 768 / i7-4600U / 8GB / 500GB+16GB",$999.00,Refurbished
Lenovo Thinkpad T440s intel i5-4300U 8gb 320gb Windows 10 Pro Laptop,$189.00,Pre-Owned
Lenovo ThinkPad T440 Ultrabook Intel i5-4200U 2.3ghz 4GB RAM 500GB ,$235.00,Refurbished
Lenovo Thinkpad T440 Intel Core i7-4600U 2.7G HD+ 8GB 500GB BT FPR Win10 Pro,$239.00,Refurbished
Lenovo ThinkPad T430 laptop Core i7 8GB RAM 180GB SSD Webcam,$357.19,Refurbished
"Lenovo ThinkPad T440 14"" Laptop Dual Core i5-4300U 1.9GHz 12GB 500GB w/ Win 10",$189.99,Pre-Owned
Lenovo Thinkpad T430 Business Laptop computer Intel i5-3320m 8GB DDR3 128GB,$159.99,Refurbished
Lenovo ThinkPad T430 laptop Intel Core i5 2.6GHZ  250GB SSD DVDRW ,$250.00,Pre-Owned
"Lenovo Thinkpad T440 Laptop PC, Windows 10 Home 64-bit, Intel Core i5-4300U, 8GB",$300.00,Pre-Owned
